method,path,data_class,minimum_role,operation_id
POST,/api/v1/control/safe-stop,motion-or-transport-privileged,operator,safe_stop
GET,/api/v1/control/status,operational-sensitive,viewer,status
GET,/api/v1/dbc/messages,operational-sensitive,viewer,messages
GET,/api/v1/dbc/messages/{can_id},operational-sensitive,viewer,message
POST,/api/v1/dbc/reload,business-write-privileged,engineer,reload
GET,/api/v1/dbc/status,operational-sensitive,viewer,status
GET,/api/v1/eol/dashboard,operational-sensitive,viewer,dashboard
POST,/api/v1/eol/sessions,business-write-privileged,operator,create
GET,/api/v1/eol/sessions/{sid},operational-sensitive,viewer,get
POST,/api/v1/eol/sessions/{sid}/abort,business-write-privileged,operator,abort
GET,/api/v1/eol/sessions/{sid}/assertions,operational-sensitive,viewer,assertions
GET,/api/v1/eol/sessions/{sid}/charts,operational-sensitive,viewer,charts
POST,/api/v1/eol/sessions/{sid}/emergency-stop,business-write-privileged,operator,emergency_stop
GET,/api/v1/eol/sessions/{sid}/logs,operational-sensitive,viewer,logs
POST,/api/v1/eol/sessions/{sid}/manual-confirm,business-write-privileged,operator,manual_confirm
POST,/api/v1/eol/sessions/{sid}/pause,business-write-privileged,operator,pause
POST,/api/v1/eol/sessions/{sid}/report,business-write-privileged,operator,report
POST,/api/v1/eol/sessions/{sid}/resume,business-write-privileged,operator,resume
POST,/api/v1/eol/sessions/{sid}/start,business-write-privileged,operator,start
GET,/api/v1/health,public-minimal,public,health
GET,/api/v1/history/dashboard,operational-sensitive,viewer,dashboard
POST,/api/v1/history/export,business-write-privileged,operator,export_history
GET,/api/v1/history/exports/{file_id},operational-sensitive,viewer,download_history_export
GET,/api/v1/history/statistics,operational-sensitive,viewer,statistics
POST,/api/v1/logs/export/csv,business-write-privileged,operator,export_csv
POST,/api/v1/logs/export/raw-can,business-write-privileged,operator,export_raw_can
GET,/api/v1/logs/exports/{file_id},operational-sensitive,viewer,download_export
POST,/api/v1/logs/load-history,business-write-privileged,operator,load_history
GET,/api/v1/logs/raw-can-files,operational-sensitive,viewer,raw_can_files
DELETE,/api/v1/logs/raw-can-files/{file_id},business-write-privileged,admin,delete_raw_can_file
GET,/api/v1/logs/raw-can-files/{file_id}/download,operational-sensitive,viewer,download_raw_can_file
POST,/api/v1/maintenance/enter,configuration-privileged,admin,enter_maintenance
POST,/api/v1/maintenance/exit,configuration-privileged,admin,exit_maintenance
PUT,/api/v1/maintenance/features,configuration-privileged,admin,maintenance_features
GET,/api/v1/overview/summary,operational-sensitive,viewer,overview
GET,/api/v1/reports,operational-sensitive,viewer,reports
GET,/api/v1/reports/capabilities,operational-sensitive,viewer,report_capabilities
POST,/api/v1/reports/change-directory,business-write-privileged,admin,change_directory
GET,/api/v1/reports/dashboard,operational-sensitive,viewer,dashboard
POST,/api/v1/reports/open-directory,business-write-privileged,operator,open_directory
GET,/api/v1/reports/print-jobs/{job_id},operational-sensitive,viewer,print_job
POST,/api/v1/reports/print-jobs/{job_id}/cancel,business-write-privileged,operator,cancel_print_job
POST,/api/v1/reports/print-jobs/{job_id}/retry,business-write-privileged,operator,retry_print_job
GET,/api/v1/reports/printers,operational-sensitive,viewer,printers
POST,/api/v1/reports/scan,business-write-privileged,operator,scan
GET,/api/v1/reports/storage-stats,operational-sensitive,viewer,storage_stats
DELETE,/api/v1/reports/{rid},business-write-privileged,admin,delete
POST,/api/v1/reports/{rid}/archive,business-write-privileged,admin,archive_report
POST,/api/v1/reports/{rid}/export-pdf,business-write-privileged,operator,export_pdf
POST,/api/v1/reports/{rid}/export-word,business-write-privileged,operator,export_word
GET,/api/v1/reports/{rid}/file,operational-sensitive,viewer,report_file
GET,/api/v1/reports/{rid}/preview,operational-sensitive,viewer,preview
POST,/api/v1/reports/{rid}/print,business-write-privileged,operator,print_report
POST,/api/v1/reports/{rid}/regenerate,business-write-privileged,operator,regenerate
GET,/api/v1/reports/{rid}/related-data,operational-sensitive,viewer,related_data
GET,/api/v1/signals/current,operational-sensitive,viewer,current
GET,/api/v1/signals/curve-config,operational-sensitive,viewer,curve_config
PUT,/api/v1/signals/curve-selection,business-write-privileged,operator,curve_selection
GET,/api/v1/signals/dashboard,operational-sensitive,viewer,dashboard
PUT,/api/v1/signals/dashboard-layout,business-write-privileged,operator,save_dashboard_layout
POST,/api/v1/signals/dashboard-layout/reset,business-write-privileged,operator,reset_dashboard_layout
POST,/api/v1/signals/export-csv,business-write-privileged,operator,export_csv
GET,/api/v1/signals/exports/{file_id},operational-sensitive,viewer,download_signal_export
POST,/api/v1/signals/snapshot,business-write-privileged,operator,snapshot
GET,/api/v1/signals/threshold-status,operational-sensitive,viewer,thresholds
GET,/api/v1/signals/timeseries,operational-sensitive,viewer,timeseries
GET,/api/v1/signals/watchlist,operational-sensitive,viewer,watchlist
POST,/api/v1/signals/watchlist,business-write-privileged,operator,save_watchlist
PUT,/api/v1/signals/watchlist,business-write-privileged,operator,save_watchlist
GET,/api/v1/storage/backups,operational-sensitive,admin,backups
POST,/api/v1/storage/backups,business-write-privileged,admin,create_backup
POST,/api/v1/storage/backups/{backup_id}/restore,business-write-privileged,admin,restore_backup
GET,/api/v1/storage/backups/{backup_id}/validate,operational-sensitive,admin,validate_backup
POST,/api/v1/storage/cleanup,business-write-privileged,admin,cleanup_start
POST,/api/v1/storage/cleanup/preview,business-write-privileged,admin,cleanup_preview
GET,/api/v1/storage/cleanup/{job_id},operational-sensitive,admin,cleanup_job
POST,/api/v1/storage/cleanup/{job_id}/cancel,business-write-privileged,admin,cleanup_cancel
POST,/api/v1/storage/health/recheck,business-write-privileged,admin,health_recheck
GET,/api/v1/storage/schema-version,operational-sensitive,viewer,schema_version
GET,/api/v1/storage/stats,operational-sensitive,viewer,storage_stats
GET,/api/v1/storage/trend,operational-sensitive,viewer,storage_trend
GET,/api/v1/system/version,operational-sensitive,viewer,system_version
GET,/api/v1/test-sessions,operational-sensitive,viewer,sessions
GET,/api/v1/test-sessions/{sid},operational-sensitive,viewer,session
GET,/api/v1/test-sessions/{sid}/download/{file_type},operational-sensitive,viewer,session_download
GET,/api/v1/test-sessions/{sid}/downloads,operational-sensitive,viewer,session_downloads
GET,/api/v1/test-sessions/{sid}/fault-events,operational-sensitive,viewer,fault_events
POST,/api/v1/test-sessions/{sid}/open-detail,business-write-privileged,viewer,open_detail
GET,/api/v1/test-sessions/{sid}/operator-actions,operational-sensitive,viewer,session_operator_actions
GET,/api/v1/test-sessions/{sid}/replay,operational-sensitive,viewer,replay
POST,/api/v1/test-sessions/{sid}/replay/seek,business-write-privileged,viewer,replay_seek
GET,/api/v1/test-sessions/{sid}/timeline,operational-sensitive,viewer,timeline
